Entity Couple,Annotator,1. Would you say these entities are closely related in any way?,2. Do you exactly know how they are connected?,3. Do you believe most people would be curious to discover more about their connection - if there were one?,Result,Surprisal,Annotation,S_corrected_Annotation
Entity Pair 49: Robinson's_Arch AND Edward_Robinson_(scholar),Anonymous User 3,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 50: General_covariance AND Tensor_field,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 50: General_covariance AND Tensor_field,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 50: General_covariance AND Tensor_field,Anonymous User 3,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
"Entity Pair 51: Gallatin_County,_Montana AND Manhattan,_Montana",Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
"Entity Pair 51: Gallatin_County,_Montana AND Manhattan,_Montana",Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
"Entity Pair 51: Gallatin_County,_Montana AND Manhattan,_Montana",Anonymous User 3,Yes,Does not apply,No,Irrelevant,Expected,0.5,0.5
Entity Pair 52: John_Bailey_(American_actor) AND New_Wave_Hookers,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 52: John_Bailey_(American_actor) AND New_Wave_Hookers,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 52: John_Bailey_(American_actor) AND New_Wave_Hookers,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 53: Eystein_Glumra AND Rognvald_Eysteinsson,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 53: Eystein_Glumra AND Rognvald_Eysteinsson,Anonymous User 2,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 53: Eystein_Glumra AND Rognvald_Eysteinsson,Anonymous User 3,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 54: Imperial_Capital AND City_National_Bank_(California),Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 54: Imperial_Capital AND City_National_Bank_(California),Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 54: Imperial_Capital AND City_National_Bank_(California),Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 55: Kazuyo_Sejima AND Towada_Art_Center,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 55: Kazuyo_Sejima AND Towada_Art_Center,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 55: Kazuyo_Sejima AND Towada_Art_Center,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 56: Niue_dollar AND Cook_Islands_dollar,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 56: Niue_dollar AND Cook_Islands_dollar,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 56: Niue_dollar AND Cook_Islands_dollar,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 57: Thaler AND German_Orthographic_Conference_of_1901,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 57: Thaler AND German_Orthographic_Conference_of_1901,Anonymous User 2,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 57: Thaler AND German_Orthographic_Conference_of_1901,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 58: Glenn_Dorsey AND Kyle_Williams_(defensive_tackle),Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 58: Glenn_Dorsey AND Kyle_Williams_(defensive_tackle),Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 58: Glenn_Dorsey AND Kyle_Williams_(defensive_tackle),Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 59: Brett_Sperry AND Louis_Castle,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 59: Brett_Sperry AND Louis_Castle,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 59: Brett_Sperry AND Louis_Castle,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
