Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Alexander_the_Great'; 'Apelles';44;113391.33;1761.63;111629.7;115152.96;0.34;0.42;0.38;1.9;1;1;0.88
Alexander_the_Great'; 'Egypt';23;113391.33;220427.43;107036.1;333818.76;0.43;0.16;0.53;7.8;1;1;0.8
Alexander_the_Great'; 'Pompeii';25;113391.33;94945.45;18445.88;208336.78;0.36;0.14;0.43;7.17;1;1;0.83
Alexander_the_Great'; 'Alexander_(2004_film)';529;113391.33;11083.33;102308;124474.66;0.6;0.11;0.3;0.58;0;1;0.83
Alexander_the_Great'; 'Cleopatra';131;113391.33;189619.3;76227.97;303010.63;0.33;0.78;0.33;1.67;1;1;0.86
Alexander_the_Great'; 'Hercules';12;113391.33;24803;88588.33;138194.33;0.26;0.13;0.44;12.58;1;1;0.86
Alexander_the_Great'; 'Mithridatic_Wars';11;113391.33;1011;112380.33;114402.33;0.36;0.09;0.41;10.48;1;1;0.86
Alexander_the_Great'; 'Platanus';12;113391.33;6318.97;107072.36;119710.3;0.21;0.31;0.54;11.13;1;1;0.8
Alexander_the_Great'; 'Augustus';175;113391.33;137211.97;23820.64;250603.3;0.41;0.38;0.32;0.37;0;0;0.68
Alexander_the_Great'; 'Indian_campaign_of_Alexander_the_Great';1187;113391.33;7870.67;105520.66;121262;0.74;0.09;0.26;0.62;0;0;0.79
Alexander_the_Great'; 'Gandhara';90;113391.33;17948.74;95442.59;131340.07;0.47;0.14;0.29;1.68;1;0;0.67
Alexander_the_Great'; 'Amfissa';10;113391.33;463.68;112927.65;113855.01;0.3;0.12;0.37;10.74;1;1;0.9
Alexander_the_Great'; 'Pixodarus';14;113391.33;109.47;113281.86;113500.8;0.24;0.45;0.35;3.09;1;0;0.79
Alexander_the_Great'; 'Chronology_of_European_exploration_of_Asia';37;113391.33;1701.33;111690;115092.66;0.43;0.43;0.41;1.45;0;1;0.86
Alexander_the_Great'; 'Isocrates';103;113391.33;2485.79;110905.54;115877.12;0.24;0.3;0.39;3.95;1;1;0.85
Alexander_the_Great'; 'Kadifekale';12;113391.33;282.11;113109.22;113673.44;0.3;0.16;0.43;10.31;1;0;0.79
Alexander_the_Great'; 'Ecbatana';25;113391.33;2636.32;110755.01;116027.65;0.38;0.13;0.35;5.42;1;1;0.83
Alexander_the_Great'; 'Battle_of_Megalopolis';81;113391.33;410.33;112981;113801.66;0.39;0.1;0.35;4.25;0;1;0.88
Alexander_the_Great'; 'Demaratus_(hetairos)';28;113391.33;103.16;113288.17;113494.49;0.32;0.53;0.4;1.5;1;0;0.66
Alexander_the_Great'; 'Frederick_the_Great';12;113391.33;23079.67;90311.66;136471;0.44;0.3;0.58;7.52;1;0;0.66
Alexander_the_Great'; 'Partition_of_Babylon';179;113391.33;746.33;112645;114137.66;0.55;0.09;0.29;1.17;1;1;0.86
Alexander_the_Great'; 'Oliver_Stone';19;113391.33;19427;93964.33;132818.33;0.35;0.34;0.5;5.77;1;1;0.83
Alexander_the_Great'; 'Indo-Greek_Kingdom';50;113391.33;6086.67;107304.66;119478;0.55;0.16;0.28;0.53;0;0;0.67
Alexander_the_Great'; 'Getae';40;113391.33;2793.14;110598.19;116184.47;0.37;0.13;0.37;5.25;1;0;0.79
Alexander_the_Great'; 'Ancient_Olympic_Games';95;113391.33;9932;103459.33;123323.33;0.5;0.09;0.37;3.14;1;1;0.85
Alexander_the_Great'; 'Thalestris';33;113391.33;351.05;113040.28;113742.38;0.48;0.43;0.4;0.83;1;1;0.88
Alexander_the_Great'; 'Pella';4781;113391.33;9234.26;104157.07;122625.59;0.47;0.12;0.26;0.72;1;1;0.86
Alexander_the_Great'; 'Alexander_IV_of_Macedon';8044;113391.33;5390;108001.33;118781.33;0.55;0.88;0.25;2.44;0;1;0.83
Alexander_the_Great'; 'Alexander_of_Lyncestis';89;113391.33;53;113338.33;113444.33;0.64;0.58;0.38;1.64;1;1;0.83
Alexander_the_Great'; 'Arabian_Peninsula';282;113391.33;16289.33;97102;129680.66;0.42;0.18;0.41;2.89;1;1;0.83
Alexander_the_Great'; 'Scythia';46;113391.33;15276.69;98114.64;128668.02;0.3;0.14;0.35;5.74;1;1;0.83
Alexander_the_Great'; 'Gastrointestinal_perforation';125;113391.33;6495;106896.33;119886.33;0.25;0.08;0.78;10.64;1;0;0.78
Alexander_the_Great'; 'Peloponnesian_War';17;113391.33;31375.67;82015.66;144767;0.43;0.1;0.3;4.46;0;1;0.8
Alexander_the_Great'; 'Craterus';126;113391.33;1291.81;112099.52;114683.14;0.35;0.56;0.26;1.49;1;0;0.67
Alexander_the_Great'; 'Ptolemaic_Kingdom';323;113391.33;11619.67;101771.66;125011;0.52;0.16;0.25;0.15;0;0;0.74
Alexander_the_Great'; 'Amyntas_IV_of_Macedon';145;113391.33;315;113076.33;113706.33;0.33;0.5;0.33;0.22;0;0;0.67
Alexander_the_Great'; 'Maedi';34;113391.33;713.68;112677.65;114105.01;0.36;0.13;0.41;6.38;1;1;0.86
Alexander_the_Great'; 'Relief';29;113391.33;13644;99747.33;127035.33;0.35;0.13;0.45;7.56;1;0;0.78
Alexander_the_Great'; 'Iranian_studies';10;113391.33;334.33;113057;113725.66;0.26;0.16;0.53;14.65;1;0;0.78
Alexander_the_Great'; 'Memnon_of_Rhodes';107;113391.33;543;112848.33;113934.33;0.44;0.54;0.29;1.5;1;1;0.88
Alexander_the_Great'; 'Asiatic_lion';51;113391.33;11599;101792.33;124990.33;0.35;0.16;0.43;5.71;1;1;0.83
Alexander_the_Great'; 'Ionia';24;113391.33;11376.79;102014.54;124768.12;0.39;0.15;0.28;3.3;1;1;0.83
Alexander_the_Great'; 'Ancient_Carthage';63;113391.33;14619.33;98772;128010.66;0.47;0.14;0.37;3.2;1;1;0.83
Alexander_the_Great'; 'Babylonian_astronomical_diaries';153;113391.33;190;113201.33;113581.33;0.24;0.2;0.5;6.12;1;0;0.62
Alexander_the_Great'; 'Zagros_Mountains';22;113391.33;4102.67;109288.66;117494;0.29;0.17;0.39;7.51;1;0;0.78
Alexander_the_Great'; 'Ptolemy_I_Soter';337;113391.33;11266;102125.33;124657.33;0.44;0.63;0.2;3.05;1;0;0.78
Alexander_the_Great'; 'Solomon';10;113391.33;93274.56;20116.77;206665.89;0.41;0.33;0.43;4.79;1;1;0.88
Alexander_the_Great'; 'Apollo';22;113391.33;117113.39;3722.06;230504.72;0.44;0.09;0.3;4.1;1;1;0.86
Alexander_the_Great'; 'Roxana';7120;113391.33;14588.98;98802.35;127980.31;0.59;0.33;0.26;0.85;1;1;0.86
Alexander_the_Great'; 'Vergina_Sun';21;113391.33;1763;111628.33;115154.33;0.34;0.13;0.36;6.77;1;1;0.85
Alexander_the_Great'; 'Hamadan';24;113391.33;4091.34;109299.99;117482.67;0.26;0.12;0.48;10.78;1;0;0.79
Alexander_the_Great'; 'Adolf_Hitler';25;113391.33;247531.33;134140;360922.66;0.38;0.28;0.68;8.68;1;0;0.79
